k,solution,spreads,elapsed,lookups
1,486,796.2,108.811,1005
2,762,797.2,256.719,915000
3,417,797.9,275.644,104000
4,449,795.0,316.91,168000
5,595,795.7,317.082,1000
6,626,797.6,317.261,1000
7,688,798.4,317.437,1000
8,775,799.4,317.611,1000
9,780,800.2,317.789,1000
10,871,801.1,317.972,1000
11,876,802.1,318.149,1000
12,916,803.0,318.322,1000
13,987,803.1,319.045,4000
14,583,804.0,319.216,1000
15,603,805.0,319.388,1000
16,657,805.7,319.557,1000
17,702,806.5,319.737,1000
18,761,807.4,319.915,1000
19,770,808.3,320.096,1000
20,787,809.0,320.293,1000
21,795,806.7,320.506,1000
22,830,807.5,320.685,1000
23,861,809.2,320.876,1000
24,888,810.4,321.056,1000
25,893,811.0,321.24,1000
26,895,810.3,321.418,1000
27,899,810.9,321.601,1000
28,910,811.8,321.779,1000
29,928,812.7,321.961,1000
30,973,813.5,322.134,1000
31,975,814.2,322.349,1000
32,1002,815.0,322.552,1000
33,1004,815.7,322.768,1000
34,50,814.9,323.014,1000
35,149,814.6,323.195,1000
36,398,814.1,323.602,2000
37,605,814.7,323.841,1000
38,677,815.6,324.066,1000
39,701,817.0,324.25,1000
40,864,817.8,324.484,1000
41,946,818.8,324.77,1000
42,948,819.7,325.031,1000
43,985,820.5,325.266,1000
44,998,821.1,325.478,1000
45,475,821.6,325.696,1000
46,561,822.3,325.881,1000
47,606,823.1,326.067,1000
48,680,824.0,326.264,1000
49,774,824.8,326.459,1000
50,794,825.4,326.653,1000
