k,solution,spreads,elapsed
1,573,827.2,71.868
2,81,828.2,155.458
3,975,830.1,237.362
4,99,831.9,320.61
5,973,831.9,406.887
6,606,831.4,490.56
7,281,830.3,571.929
8,67,830.6,653.156
9,119,830.5,738.399
10,447,830.7,819.542
11,568,831.5,900.596
12,967,829.9,981.911
13,628,830.6,1065.188
14,180,832.2,1145.799
15,370,831.3,1226.79
16,472,831.7,1307.508
17,338,833.0,1389.68
18,384,833.2,1470.27
19,246,832.1,1551.321
20,860,831.7,1634.032
21,283,831.6,1716.409
22,679,832.9,1799.116
23,704,832.9,1880.812
24,186,832.2,1964.66
25,2,831.7,2045.873
26,54,832.0,2127.652
27,91,831.0,2208.469
28,521,833.0,2291.958
29,369,832.2,2372.613
30,193,832.0,2454.279
31,580,832.0,2535.793
32,763,833.6,2618.194
33,540,834.2,2699.046
34,326,833.8,2780.48
35,51,834.0,2863.998
36,539,833.6,2945.247
37,597,834.3,3026.108
38,429,834.1,3107.897
39,986,835.0,3190.99
40,185,834.3,3270.805
41,342,834.6,3349.745
42,739,834.2,3429.309
43,256,835.9,3510.53
44,494,835.9,3589.558
45,25,834.8,3668.163
46,111,835.8,3748.491
47,727,836.5,3828.427
48,937,836.1,3907.288
49,301,835.7,3985.812
50,792,834.8,4066.711
